app,cluster,isNamespaced,critical,team,storeID,type,service,name,namespace,runID,class,id,label
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d267a,ServiceAccount,,legacy-service-account-token-cleaner,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1246744,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d26c3,ServiceAccount,,coredns,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1248568,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d2699,ServiceAccount,,pvc-protection-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1312280,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d261e,Group,,system:authenticated,,01jzmmdybqgekbn439fjdz6she,Identity,852168,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d25f5,Group,,group-rb-r-crb-cr-fail,,01jzmmdybqgekbn439fjdz6she,Identity,131424,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d25e5,Group,,system:bootstrappers:kubeadm:default-node-token,,01jzmmdybqgekbn439fjdz6she,Identity,655712,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d25f2,Group,,system:nodes,,01jzmmdybqgekbn439fjdz6she,Identity,656192,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d25d6,Group,,system:masters,,01jzmmdybqgekbn439fjdz6she,Identity,459584,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d25fe,ServiceAccount,,local-path-provisioner-service-account,local-path-storage,01jzmmdybqgekbn439fjdz6she,Identity,721728,Identity
,kind-kubehound.test.local,false,false,,686cdf52dce18c406e3d266f,User,,system:kube-controller-manager,,01jzmmdybqgekbn439fjdz6she,Identity,132120,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d2606,Group,,group-rb-r-rb-crb,,01jzmmdybqgekbn439fjdz6she,Identity,66880,Identity
,kind-kubehound.test.local,false,false,,686cdf52dce18c406e3d26d4,User,,system:kube-proxy,,01jzmmdybqgekbn439fjdz6she,Identity,984384,Identity
,kind-kubehound.test.local,false,false,,686cdf52dce18c406e3d26da,Group,,system:serviceaccounts,,01jzmmdybqgekbn439fjdz6she,Identity,1049920,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d25df,Group,,kubeadm:cluster-admins,,01jzmmdybqgekbn439fjdz6she,Identity,787912,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d260c,User,,user-rb-r-rb-crb,,01jzmmdybqgekbn439fjdz6she,Identity,67096,Identity
,kind-kubehound.test.local,false,false,,686cdf52dce18c406e3d26d7,Group,,system:unauthenticated,,01jzmmdybqgekbn439fjdz6she,Identity,1377816,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d2618,Group,,group-rb-r-rb-r,,01jzmmdybqgekbn439fjdz6she,Identity,134456,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d2621,User,,user-rb-r-rb-r,,01jzmmdybqgekbn439fjdz6she,Identity,199992,Identity
,kind-kubehound.test.local,false,false,,686cdf51dce18c406e3d2651,User,,system:anonymous,,01jzmmdybqgekbn439fjdz6she,Identity,331064,Identity
