app,cluster,isNamespaced,mountPath,team,storeID,type,readonly,service,name,namespace,runID,class,sourcePath,id,label
,kind-kubehound.test.local,true,/lib/modules,,686cdf53dce18c406e3d2788,HostPath,true,,lib-modules,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/lib/modules,2162736,Volume
,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d2750,Projected,true,,kube-api-access-tntqp,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/70e19d19-7f36-413a-8964-f82259f0492d/volumes/kubernetes.io~projected/kube-api-access-tntqp/token,1966912,Volume
,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d2795,Projected,true,,kube-api-access-ntlv2,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/23366231-dc59-449d-88c1-056713b0e854/volumes/kubernetes.io~projected/kube-api-access-ntlv2/token,2163520,Volume
,kind-kubehound.test.local,true,/lib/modules,,686cdf53dce18c406e3d2794,HostPath,true,,lib-modules,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/lib/modules,2819608,Volume
,kind-kubehound.test.local,true,/etc/kubernetes/scheduler.conf,,686cdf53dce18c406e3d2798,HostPath,true,,kubeconfig,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/kubernetes/scheduler.conf,2755896,Volume
kindnet,kind-kubehound.test.local,true,/etc/cni/net.d,,686cdf53dce18c406e3d2768,HostPath,false,,cni-cfg,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/cni/net.d,1311768,Volume
kindnet,kind-kubehound.test.local,true,/run/xtables.lock,,686cdf53dce18c406e3d2769,HostPath,false,,xtables-lock,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/run/xtables.lock,1377304,Volume
kindnet,kind-kubehound.test.local,true,/lib/modules,,686cdf53dce18c406e3d276a,HostPath,true,,lib-modules,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/lib/modules,1443608,Volume
kindnet,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d276c,Projected,true,,kube-api-access-bjs56,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/9067da7d-077c-4216-aebb-8e80707c9b07/volumes/kubernetes.io~projected/kube-api-access-bjs56/token,1509144,Volume
kindnet,kind-kubehound.test.local,true,/var/run/nri,,686cdf53dce18c406e3d276b,HostPath,false,,nri-plugin,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/var/run/nri,2428216,Volume
local-path-provisioner,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d279c,Projected,true,,kube-api-access-858g6,local-path-storage,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/8f07cb72-dd07-4e52-ae7d-d1b3711a1907/volumes/kubernetes.io~projected/kube-api-access-858g6/token,2164032,Volume
,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d2757,Projected,true,,kube-api-access-ncpxj,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/6c3817e2-2fed-4e97-b7f5-80d333b52417/volumes/kubernetes.io~projected/kube-api-access-ncpxj/token,1312536,Volume
,kind-kubehound.test.local,true,/etc/kubernetes/pki,,686cdf53dce18c406e3d2780,HostPath,true,,k8s-certs,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/kubernetes/pki,2032448,Volume
,kind-kubehound.test.local,true,/usr/share/ca-certificates,,686cdf53dce18c406e3d2783,HostPath,true,,usr-share-ca-certificates,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/usr/share/ca-certificates,2097200,Volume
,kind-kubehound.test.local,true,/etc/ca-certificates,,686cdf53dce18c406e3d277e,HostPath,true,,etc-ca-certificates,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/ca-certificates,2293960,Volume
,kind-kubehound.test.local,true,/etc/ssl/certs,,686cdf53dce18c406e3d277d,HostPath,true,,ca-certs,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/ssl/certs,2559288,Volume
,kind-kubehound.test.local,true,/etc/kubernetes/controller-manager.conf,,686cdf53dce18c406e3d2781,HostPath,true,,kubeconfig,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/kubernetes/controller-manager.conf,2624824,Volume
,kind-kubehound.test.local,true,/usr/local/share/ca-certificates,,686cdf53dce18c406e3d2782,HostPath,true,,usr-local-share-ca-certificates,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/usr/local/share/ca-certificates,2690360,Volume
